CATAID redshift SurfaceDensity CountInCyl AGEDenPar
  623008  0.05427   0.30400    1.0000   0.94900
  623018  0.07169   0.11600    2.0000   0.49000
  623017  0.07107   0.11400    1.0000   0.39500
  623031  0.05443   0.27400    1.0000   0.95100
  623043  0.05443   0.32700    0.0000   0.83000
  623094  0.05338   0.66000    3.0000   0.24300
  623096  0.07851  0.098000    0.0000   0.32400
  623101  0.05440   0.55900    3.0000    1.1760
  623141  0.05488   0.51800    3.2500    1.3960
  623143  0.05451   0.38000    2.0000   0.98900
  623154  0.07160   0.15900    0.0000   0.35800
  623161  0.05486   0.25200    1.0000   0.98600
  623321  0.05546   0.49800    1.0710    1.5570
  623333  0.05520   0.42500    1.0000    1.3170
  623366  0.05619   0.25300    0.0000   0.51000
  623414  0.05352   0.27200    0.0000   0.25600
  623521  0.07147   0.12300    0.0000   0.29400
  623577  0.05815   0.45000    1.0000   0.56900
  623620  0.05783   0.25700    1.0000   0.62100
  623679  0.05761   0.17200    1.0000   0.59500
  623682  0.05760   0.23200    3.3530   0.92700
  623707  0.05952   0.15800    2.0000  0.021000
  623897  0.05760    1.8870    0.0000   -999.90
  623933  0.05814    12.803    1.0000   -999.90
    6802  0.05181    606.88    0.0000   -999.90
    6816  0.07772    27.169    0.0000   -999.90
    6846  0.07664  0.052000    0.0000   0.34500
    6906  0.07828   0.44700    0.0000   0.30800
    6956  0.07591    1.3330    4.0000    1.2710
    6967  0.07611    1.9350    5.0000    1.5320
    6974  0.07508    1.5260    4.0000   0.25300
    6975  0.07661    2.6440    5.0000    1.3520
    6995  0.07684    2.6710    5.0000    1.1550
    7002  0.07632    1.6740    5.0000    1.8730
    7001  0.07641    1.7520    5.0000    1.4580
    7060  0.07885   0.39300    0.0000  0.098000
    7104  0.07640   0.16800    1.0380   0.64700
    7125  0.07654   0.28000    2.0770   0.89600
    7279  0.06422  0.010000    0.0000   -999.90
    7304  0.07782  0.090000    0.0000   0.32700
    7424  0.06441  0.010000    0.0000   -999.90
    7462  0.07976   0.20600    0.0000   0.64700
    7498  0.07377 0.0080000    0.0000   -999.90
    7511  0.06067   0.11100    0.0000   0.15100
    7518  0.06523  0.056000    0.0000 0.0050000
    7554  0.07950   0.49300    2.0000   0.76700
    7567  0.07754   0.53100    2.0000   0.26600
    7592  0.05010   0.14400    1.0000  0.038000
    7623  0.05303  0.014000    0.0000  0.010000
    7703  0.07927   0.40000    2.0000    1.2840
  938254  0.07773   0.41100    3.0000   0.64100
    7711  0.07788   0.57000    3.0000   0.81100
    7716  0.07683   0.43500    3.0000   0.14300
    7715  0.07924   0.52500    2.6670    1.9310
    7742  0.07782   0.41700    2.0000   0.57600
    7765  0.06345   0.54400    1.0710   0.19800
    7793  0.07886   0.98600    0.0000    1.6480
    7804  0.06647   0.63500    1.0000   0.47200
    7807  0.07980    1.0490    4.2670    1.4490
    7822  0.06336   0.55600    3.0000   0.36600
    7841  0.07980    1.7780    5.0000    1.0330
    7846  0.06633   0.22800    0.0000   0.38800
    7849  0.07931    1.4470    2.0000    1.1800
    7850  0.07957    1.5020    3.0000    1.6400
    7852  0.06311   0.30800    1.0000   0.29200
    7856  0.07843    1.3220    4.0000    1.5360
    7851  0.07886    1.5300    4.0000    1.9910
    7898  0.07846    3.1320    6.0000    1.7420
    7910  0.07856    2.0890    5.0000    1.7250
    7913  0.07709    1.1340    3.0000   0.34800
    7921  0.06338   0.31500    1.0000   0.29900
    7939  0.07770    1.0260    2.0000    1.3140
    8023  0.06589   0.15200    0.0000   0.31300
    8033  0.07965   0.82500    3.0000    2.4080
    8045  0.07969    1.5820    4.0000    2.3800
    8075  0.07955    4.1650    5.0000    3.3440
    8157  0.07928    1.0620    1.0480    4.0230
    8165  0.07984    3.8370    10.385    4.6470
    8184  0.07878    9.1940    8.5710    2.2210
    8187  0.07920    3.5730    7.0000    3.7900
    8241  0.07917   0.36600    1.0000    1.3280
    8268  0.07935   0.74500    1.0000    2.3290
    8295  0.06172  0.080000    0.0000   0.32400
    8335  0.07964   0.27200    0.0000   0.74600
    8388  0.07975   0.30700    0.0000   0.47600
    8455  0.07991   0.37000    1.0360   0.77200
    8456  0.07980   0.49900    2.0710    1.1150
    8536  0.07989   0.73200    2.0000    1.5680
    8540  0.07932   0.76100    3.0000    1.2190
    8567  0.07846   0.82900    2.0000   0.45300
    8641  0.07917   0.18400    0.0000   0.39900
    8677  0.05134  0.087000    0.0000   0.12300
    8709  0.07581   0.24400    0.0000   0.39200
    8805  0.07648   0.47200    3.0000   0.43300
    8813  0.07612   0.46500    3.0000   0.51800
